ID,Date,Issue,Title,Page Link,Download Link,EPRA/Energy Act
25,4/13/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 28,https://new.kenyalaw.org/akn/ke/officialGazette/2006-04-13/28/eng@2006-04-13,https://new.kenyalaw.org/akn/ke/officialGazette/2006-04-13/28/eng@2006-04-13/source,
26,4/19/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 29,https://new.kenyalaw.org/akn/ke/officialGazette/2006-04-19/29/eng@2006-04-19,https://new.kenyalaw.org/akn/ke/officialGazette/2006-04-19/29/eng@2006-04-19/source,
27,4/20/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 30,https://new.kenyalaw.org/akn/ke/officialGazette/2006-04-20/30/eng@2006-04-20,https://new.kenyalaw.org/akn/ke/officialGazette/2006-04-20/30/eng@2006-04-20/source,
28,4/28/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 31,https://new.kenyalaw.org/akn/ke/officialGazette/2006-04-28/31/eng@2006-04-28,https://new.kenyalaw.org/akn/ke/officialGazette/2006-04-28/31/eng@2006-04-28/source,
29,5/5/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 32,https://new.kenyalaw.org/akn/ke/officialGazette/2006-05-05/32/eng@2006-05-05,https://new.kenyalaw.org/akn/ke/officialGazette/2006-05-05/32/eng@2006-05-05/source,
30,5/12/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 33,https://new.kenyalaw.org/akn/ke/officialGazette/2006-05-12/33/eng@2006-05-12,https://new.kenyalaw.org/akn/ke/officialGazette/2006-05-12/33/eng@2006-05-12/source,
31,5/19/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 34,https://new.kenyalaw.org/akn/ke/officialGazette/2006-05-19/34/eng@2006-05-19,https://new.kenyalaw.org/akn/ke/officialGazette/2006-05-19/34/eng@2006-05-19/source,
32,5/19/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 35,https://new.kenyalaw.org/akn/ke/officialGazette/2006-05-19/35/eng@2006-05-19,https://new.kenyalaw.org/akn/ke/officialGazette/2006-05-19/35/eng@2006-05-19/source,
33,5/26/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 36,https://new.kenyalaw.org/akn/ke/officialGazette/2006-05-26/36/eng@2006-05-26,https://new.kenyalaw.org/akn/ke/officialGazette/2006-05-26/36/eng@2006-05-26/source,
34,6/2/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 37,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-02/37/eng@2006-06-02,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-02/37/eng@2006-06-02/source,
35,6/9/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 38,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-09/38/eng@2006-06-09,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-09/38/eng@2006-06-09/source,
36,6/9/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 39,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-09/39/eng@2006-06-09,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-09/39/eng@2006-06-09/source,
37,6/9/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 40,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-09/40/eng@2006-06-09,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-09/40/eng@2006-06-09/source,
38,6/13/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 41,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-13/41/eng@2006-06-13,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-13/41/eng@2006-06-13/source,
39,6/16/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 42,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-16/42/eng@2006-06-16,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-16/42/eng@2006-06-16/source,
40,6/16/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 43,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-16/43/eng@2006-06-16,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-16/43/eng@2006-06-16/source,
41,6/23/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 45,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-23/45/eng@2006-06-23,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-23/45/eng@2006-06-23/source,
42,6/30/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 46,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-30/46/eng@2006-06-30,https://new.kenyalaw.org/akn/ke/officialGazette/2006-06-30/46/eng@2006-06-30/source,
43,7/5/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 47,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-05/47/eng@2006-07-05,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-05/47/eng@2006-07-05/source,
44,7/7/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 48,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-07/48/eng@2006-07-07,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-07/48/eng@2006-07-07/source,
45,7/7/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 49,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-07/49/eng@2006-07-07,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-07/49/eng@2006-07-07/source,
46,7/14/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 50,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-14/50/eng@2006-07-14,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-14/50/eng@2006-07-14/source,
47,7/14/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 51,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-14/51/eng@2006-07-14,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-14/51/eng@2006-07-14/source,
48,7/17/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 52,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-17/52/eng@2006-07-17,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-17/52/eng@2006-07-17/source,
49,7/21/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 54,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-21/54/eng@2006-07-21,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-21/54/eng@2006-07-21/source,
50,7/24/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 55,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-24/55/eng@2006-07-24,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-24/55/eng@2006-07-24/source,
51,7/28/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 56,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-28/56/eng@2006-07-28,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-28/56/eng@2006-07-28/source,
52,7/28/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 57,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-28/57/eng@2006-07-28,https://new.kenyalaw.org/akn/ke/officialGazette/2006-07-28/57/eng@2006-07-28/source,
53,8/11/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 60,https://new.kenyalaw.org/akn/ke/officialGazette/2006-08-11/60/eng@2006-08-11,https://new.kenyalaw.org/akn/ke/officialGazette/2006-08-11/60/eng@2006-08-11/source,
